acousticness,bpm,danceability,energy,genre,instrumentalness,liveness,loudness,mode,popularity,speechiness,tempo,valence,age,hours,while working,exploratory,foreign,anxiety,depression,insomnia,ocd,effects,frequency [classical],frequency [country],frequency [edm],frequency [folk],frequency [gospel],frequency [hip hop],frequency [jazz],frequency [k pop],frequency [latin],frequency [lofi],frequency [metal],frequency [pop],frequency [r&b],frequency [rap],frequency [rock],frequency [video game music],country
-1.02,103.0,0.36,1.26,Metal,-0.18,-0.56,2.0,1,0.72,0.05,-4.36,1.52,27,8.85,Yes,No,No,0.87,0.49,0.37,0.42,Improve,Sometimes,Very frequently,Sometimes,Never,Very frequently,Very frequently,Never,Rarely,Never,Never,Never,Very frequently,Sometimes,Rarely,Rarely,Rarely,TR
-1.1,102.0,-0.44,-0.35,Rock,-0.2,-0.72,3.5,0,0.42,0.05,-4.36,-0.8,59,10.29,Yes,Yes,No,0.9,0.8,0.94,0.37,Improve,Rarely,Never,Very frequently,Sometimes,Never,Never,Never,Never,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Rarely,Very frequently,Very frequently,TR
0.15,117.0,-1.17,0.42,Rock,-0.19,0.98,4.0,1,0.77,0.07,-4.36,-1.72,29,15.05,Yes,Yes,No,0.21,0.6,0.26,0.14,Improve,Never,Sometimes,Very frequently,Rarely,Sometimes,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Very frequently,Sometimes,ZA
-1.1,118.0,-0.44,1.14,Rock,-0.18,-0.64,3.0,1,0.69,0.11,-4.36,-0.49,36,10.29,Yes,Yes,No,0.9,0.8,0.94,0.37,Improve,Rarely,Never,Very frequently,Sometimes,Never,Never,Never,Never,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Rarely,Very frequently,Very frequently,TR
-0.93,117.0,-0.37,0.13,Rock,-0.19,-0.48,4.0,0,0.37,0.05,-4.36,-1.06,30,10.29,Yes,Yes,No,0.9,0.8,0.94,0.37,Improve,Rarely,Never,Very frequently,Sometimes,Never,Never,Never,Never,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Rarely,Very frequently,Very frequently,FR
-0.45,119.0,-0.95,0.66,Rock,-0.19,-0.8,3.5,1,0.61,0.09,-4.36,0.17,25,10.22,Yes,No,No,0.28,0.26,0.3,0.17,No effect,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Never,Rarely,Rarely,Very frequently,Very frequently,Sometimes,Rarely,Very frequently,Rarely,TR
0.56,109.0,-1.61,1.49,Rock,-0.2,-0.4,2.5,0,0.68,0.13,-4.35,1.0,48,18.8,Yes,No,Yes,0.85,0.55,0.93,0.49,Improve,Rarely,Very frequently,Very frequently,Rarely,Never,Sometimes,Rarely,Never,Sometimes,Never,Rarely,Very frequently,Never,Very frequently,Very frequently,Rarely,NG
-1.1,117.0,-2.56,-0.41,Rock,-0.2,-0.56,3.5,0,0.69,0.05,-4.36,-1.37,38,3.16,Yes,Yes,Yes,0.48,0.22,0.45,0.18,Improve,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Very frequently,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Very frequently,Rarely,CZ
-1.1,113.0,-1.54,0.96,Rock,-0.2,-0.72,3.0,0,0.77,0.11,-4.36,0.08,78,15.21,Yes,Yes,No,0.51,0.85,0.17,0.28,No effect,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Very frequently,Never,Very frequently,Sometimes,Sometimes,TR
-1.1,105.0,-1.9,1.73,Rock,-0.2,1.06,3.5,0,0.75,0.15,-4.36,-1.19,24,15.56,Yes,Yes,No,0.49,0.63,0.74,0.3,Improve,Very frequently,Never,Never,Very frequently,Never,Very frequently,Sometimes,Rarely,Sometimes,Never,Rarely,Sometimes,Never,Rarely,Sometimes,Sometimes,TR
