song,genre
Music (feat. Marvin Gaye),Hip hop
Music (feat. Marvin Gaye),Rap
Music,Pop
Don't Stop Believin' (2024 Remaster),Rock
I'm Yours,Pop
Music (feat. Marvin Gaye),Hip hop
Music (feat. Marvin Gaye),Rap
Music,Pop
Hips Don't Lie (feat. Wyclef Jean),Pop
Just Give Me a Reason (feat. Nate Ruess),Pop
Some Nights,Gospel
Music,Pop
Pumped Up Kicks,Folk
Can't Hold Us (feat. Ray Dalton),Hip hop
Can't Hold Us (feat. Ray Dalton),Rap
Uptown Funk (feat. Bruno Mars),Pop
Sail,Gospel
When I Was Your Man,Pop
Thinking Out Loud,Pop
Music,Country
What Makes You Beautiful,Pop
A Thousand Years,Latin
Stronger (What Doesn't Kill You),Pop
Locked Out of Heaven,Pop
Rockstar,Rock
Take Me to Church,Folk
See You Again (feat. Charlie Puth),Hip hop
See You Again (feat. Charlie Puth),Rap
Turn Down for What,Latin
Replay,Pop
Love Song,Classical
Love Song,Gospel
Bleeding Love,Pop
Music,R&B
Music,Metal
Timber (feat. Ke$ha),Pop
Get Lucky,Pop
Say Something,Pop
Music,R&B
Music,Country
Story of My Life,Pop
Stressed Out,Classical
I Won't Give Up,Pop
Crazy,Lofi
Somewhere Over the Rainbow,Rock
Try,Pop
Bad Day,Rock
Blown Away,Country
It Will Rain,Gospel
Shape of You,Pop
Drunk in Love (feat. Jay Z),Pop
Low (feat. T-Pain),Hip hop
Low (feat. T-Pain),Rap
Circus,Pop
Boys 'Round Here (feat. Pistol Annies & Friends),Country
Same Love (feat. Mary Lambert),Hip hop
Same Love (feat. Mary Lambert),Rap
Lips Are Movin,Pop
I Write Sins Not Tragedies,Metal
Second Chance,Rock
Breakeven (Falling to Pieces),Pop
Chandelier,Pop
Ridin' Solo,Pop
No Air,Pop
Fire Burning,Pop
"Club Can't Handle Me (feat. David Guetta) [From ""Step Up 3D""]",Hip hop
"Club Can't Handle Me (feat. David Guetta) [From ""Step Up 3D""]",Rap
The A Team,Pop
I Know You Want Me (Calle Ocho) [More English Extended Mix],Hip hop
I Know You Want Me (Calle Ocho) [More English Extended Mix],Rap
Right Round (feat. Ke$ha),Hip hop
Right Round (feat. Ke$ha),Rap
My House,Hip hop
My House,Rap
Don't Trust Me,R&B
All About That Bass,Pop
Waiting On the World to Change,Pop
We Are Young (feat. Janelle Monáe),Classical
Perfect,Pop
Fast Car,Metal
Fast Car,K pop
No Hands (feat. Roscoe Dash & Wale),Hip hop
No Hands (feat. Roscoe Dash & Wale),Rap
Shake It,Pop
Rude,Pop
Skyfall,Pop
Faithfully (2024 Remaster),Rock
Treasure,Pop
Crazy Bitch,Rock
Hall of Fame (feat. will.i.am),Pop
Don't,Pop
If Today Was Your Last Day,Rock
Carry On,EDM
Lucky,Pop
Man In the Mirror,Pop
21 Guns,Lofi
F**k You,R&B
F**k You,Latin
Tear In My Heart,R&B
Say,Pop
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",Hip hop
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",Rap
Magic (feat. Rivers Cuomo),Hip hop
Magic (feat. Rivers Cuomo),Rap
24K Magic,Pop
Partition,Pop
My Life Would Suck Without You,Pop
Cupid Shuffle,R&B
Cupid Shuffle,Rap
Remember the Name (feat. Styles of Beyond),Hip hop
Remember the Name (feat. Styles of Beyond),Rap
Like I'm Gonna Lose You (feat. John Legend),Pop
Ride,Rap
Thrift Shop (feat. Wanz),Hip hop
Thrift Shop (feat. Wanz),Rap
A Sky Full of Stars,Classical
Uptown Funk (feat. Bruno Mars),Pop
Wobble,Hip hop
Wobble,Rap
Any Way You Want It (2024 Remaster),Rock
Gotta Be Somebody,Rock
Temperature,Pop
7 Years,Pop
Sing,Pop
Marry Me,Pop
Sober,Pop
Kids,Pop
Not Over You,Pop
Sweater Weather,Folk
Don't Tell Me,Pop
The Show Goes On,Hip hop
The Show Goes On,Rap
Gunpowder & Lead,Country
Thrift Shop (feat. Wanz),Hip hop
Thrift Shop (feat. Wanz),Rap
I'm Shipping Up to Boston,Jazz
International Love (feat. Chris Brown),Pop
Smile,Pop
Billie Jean (Single Version),Pop
Heathens,Hip hop
Ex's & Oh's,Rap
Forget You,R&B
Forget You,EDM
Before He Cheats,Pop
Music,Pop
That's What I Like,Pop
Play That Funky Music,Rock
Open Arms (2024 Remaster),Rock
Decode,Rock
Thriller (2003 Edit),Pop
Womanizer,Pop
All-American Girl,Country
Scary Monsters and Nice Sprites,R&B
Bangarang (feat. Sirah),K pop
Boom Clap,K pop
Yeah! (feat. Lil Jon & Ludacris),R&B
Yeah! (feat. Lil Jon & Ludacris),Jazz
F**kin' Perfect,Pop
Beautiful Liar,R&B
Beautiful Liar,Rap
Far Away,Rock
Smooth Criminal,Pop
Harlem Shake,Country
Trumpets,Pop
Sorry,Rock
Photograph,Pop
Dear Future Husband,Pop
Music,Lofi
Photograph,Rock
Hard to Love,Country
Separate Ways (Worlds Apart) [2024 Remaster],Rock
Worth It (feat. Kid Ink),Pop
Cowboy Casanova,Country
One Thing,Pop
Piano Man,Rock
That's Not My Name,Pop
Gravity,Pop
Beat It (Single Version),Pop
I Don't Want to Miss a Thing,Hip hop
Live Like You Were Dying,Country
XO,Pop
Save a Horse (Ride a Cowboy),Country
Wiggle (feat. Snoop Dogg),Pop
Somewhere With You,Country
Whataya Want from Me,Pop
The Sound of Silence,Rock
Crush,Pop
White Walls (feat. ScHoolboy Q & Hollis),Hip hop
White Walls (feat. ScHoolboy Q & Hollis),Rap
Carry On Wayward Son,Rock
Ain't It Fun,Rock
Shallow,Rock
The Way You Make Me Feel (Single Version),Pop
Better In Time,Rock
Don't Stop 'Til You Get Enough,Pop
Blame It (feat. T-Pain),R&B
Blame It (feat. T-Pain),Rap
***Flawless (feat. Chimamanda Ngozi Adichie),Pop
Lego House,Pop
Still Into You,K pop
I Want Crazy (Encore),Country
Already Gone,Pop
P.Y.T. (Pretty Young Thing),Pop
Back In Black,Rock
Please Don't Leave Me,Pop
Drops of Jupiter (Tell Me),Rock
Tattoo,Pop
Blow Me (One Last Kiss),Pop
Say Aah (feat. Fabolous),R&B
Say Aah (feat. Fabolous),Lofi
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",K pop
Wheel In the Sky (2024 Remaster),Rock
Good Girl,Country
CAN'T STOP THE FEELING!,Jazz
Undo It,Country
Electric Feel,Classical
Night Changes,Pop
Want to Want Me,Pop
Pretty Hurts,Pop
Falling Slowly,Video game music
Come With Me Now,R&B
Ring of Fire,Country
Something Just Like This,Jazz
In the Ayer (feat. Will.I.am),Hip hop
In the Ayer (feat. Will.I.am),Rap
For the First Time,Pop
Crazy in Love (feat. Jay-Z),Pop
Castle on the Hill,Pop
Where Are Ü Now (feat. Justin Bieber),R&B
Eenie Meenie,Pop
One Call Away,Pop
Carry On Wayward Son,Rock
Ain't It Fun,EDM
Shallow,Hip hop
The Way You Make Me Feel (Single Version),Pop
Better In Time,Rock
Don't Stop 'Til You Get Enough,Pop
Blame It (feat. T-Pain),R&B
Blame It (feat. T-Pain),K pop
***Flawless (feat. Chimamanda Ngozi Adichie),Pop
Lego House,Pop
Still Into You,EDM
I Want Crazy (Encore),Country
Already Gone,Pop
P.Y.T. (Pretty Young Thing),Pop
Back In Black,Rock
Please Don't Leave Me,Pop
Drops of Jupiter (Tell Me),Rock
Tattoo,Pop
Blow Me (One Last Kiss),Pop
Say Aah (feat. Fabolous),R&B
Say Aah (feat. Fabolous),Jazz
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",Rap
Wheel In the Sky (2024 Remaster),Rock
Good Girl,Country
CAN'T STOP THE FEELING!,Pop
Undo It,Country
Electric Feel,Classical
Night Changes,Pop
Want to Want Me,Pop
Pretty Hurts,Pop
Falling Slowly,K pop
Come With Me Now,Hip hop
Ring of Fire,Country
Something Just Like This,R&B
In the Ayer (feat. Will.I.am),Hip hop
