song,genre,bpm,energy,danceability,loudness,speechiness,acousticness,liveness,valence,popularity
Sunrise,Gospel,0.7621359223300971,0.3,0.5520833333333334,7.0,0.0545454545454545,0.9494949494949496,0.1111111111111111,0.6868686868686869,0.71
Black Night,K pop,0.6553398058252428,0.79,0.5208333333333334,5.5,0.1272727272727272,0.1717171717171717,0.1717171717171717,0.8181818181818182,0.39
Clint Eastwood,Rock,0.8155339805825242,0.69,0.6875,4.5,0.3090909090909091,0.0202020202020202,0.0707070707070707,0.5252525252525253,0.69
The Pretender,Rap,0.8398058252427184,0.96,0.4479166666666667,2.0,0.0727272727272727,0.0,0.0303030303030303,0.3737373737373737,0.76
Waitin' On A Sunny Day,Hip hop,0.5145631067961165,0.82,0.6041666666666666,2.5,0.0545454545454545,0.0101010101010101,0.101010101010101,0.8787878787878788,0.59
The Road Ahead (Miles Of The Unknown),Classical,0.4805825242718446,0.46,0.5625,4.5,0.0363636363636363,0.0,0.1414141414141414,0.1414141414141414,0.45
She Will Be Loved,K pop,0.4951456310679611,0.71,0.7395833333333334,3.0,0.0545454545454545,0.0606060606060606,0.1313131313131313,0.5454545454545454,0.74
Knights of Cydonia,Lofi,0.6650485436893204,0.96,0.3854166666666667,2.5,0.2545454545454545,0.0,0.1212121212121212,0.2121212121212121,0.69
Mr. Brightside,R&B,0.7184466019417476,0.92,0.375,2.0,0.1454545454545454,0.0,0.101010101010101,0.2323232323232323,0.77
Without Me,Jazz,0.5436893203883495,0.67,0.9479166666666666,1.5,0.1272727272727272,0.0,0.2424242424242424,0.6666666666666666,0.82
Love Me Tender,Classical,0.529126213592233,0.05,0.4583333333333333,8.0,0.0727272727272727,0.8888888888888888,0.1111111111111111,0.3131313131313131,0.49
Seven Nation Army,EDM,0.6019417475728155,0.46,0.7708333333333334,4.0,0.1454545454545454,0.0101010101010101,0.2626262626262626,0.3232323232323232,0.74
Als Het Golft,Metal,0.4951456310679611,0.88,0.5625,3.0,0.0545454545454545,0.0202020202020202,0.5353535353535354,0.5959595959595959,0.34
I'm going home,Metal,0.5679611650485437,0.93,0.3958333333333333,1.0,0.1818181818181818,0.1818181818181818,0.8181818181818182,0.404040404040404,0.26
Fluorescent Adolescent,Lofi,0.5436893203883495,0.81,0.6770833333333334,2.5,0.0545454545454545,0.0,0.1414141414141414,0.8282828282828283,0.66
Zonder Jou,Country,0.6456310679611651,0.42,0.4375,5.0,0.0727272727272727,0.8484848484848485,0.1616161616161616,0.2525252525252525,0.48
Speed of Sound,Gospel,0.5970873786407767,0.9,0.5416666666666666,3.5,0.109090909090909,0.0,0.0707070707070707,0.3636363636363636,0.69
Uninvited,Classical,0.616504854368932,0.54,0.3958333333333333,2.5,0.0545454545454545,0.0202020202020202,0.0909090909090909,0.1919191919191919,0.57
Music,Pop,0.4223300970873786,0.31,0.28125,6.5,0.0545454545454545,0.0101010101010101,0.6363636363636364,0.1212121212121212,0.46
Cry Me a River,R&B,0.3592233009708738,0.65,0.6458333333333334,3.5,0.3272727272727272,0.5757575757575758,0.101010101010101,0.5656565656565656,0.74
Fix You,Country,0.6699029126213593,0.42,0.21875,4.5,0.0545454545454545,0.1616161616161616,0.1111111111111111,0.1212121212121212,0.81
The Cave,Classical,0.6893203883495146,0.51,0.625,5.0,0.0727272727272727,0.0505050505050505,0.1111111111111111,0.3535353535353535,0.67
Als De Morgen Is Gekomen,Latin,0.4660194174757281,0.89,0.65625,3.0,0.0545454545454545,0.0505050505050505,0.0909090909090909,0.8181818181818182,0.55
Somebody Told Me,K pop,0.6699029126213593,0.99,0.53125,1.5,0.1636363636363636,0.0,0.1212121212121212,0.6565656565656566,0.69
Dichterbij Dan Ooit,EDM,0.5436893203883495,0.74,0.6770833333333334,3.5,0.0545454545454545,0.1818181818181818,0.2323232323232323,0.5252525252525253,0.16
Miracle,Hip hop,0.6310679611650486,0.48,0.5729166666666666,4.0,0.0545454545454545,0.4848484848484848,0.101010101010101,0.1818181818181818,0.5
Smokers Outside the Hospital Doors,Jazz,0.5970873786407767,0.68,0.5520833333333334,2.0,0.0727272727272727,0.0,0.1212121212121212,0.5555555555555556,0.56
