song,genre,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"""Honest""",,0.4877049180327868,0.7997997997997999,-1.6408637873754155,0.0,0.2194616977225673,0.0162650602409638,0.0,0.266597510373444,0.5851926977687626,0.6864595505427696
"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",Lofi,0.4866803278688524,0.1301301301301301,-5.88671096345515,1.0,0.0527950310559006,0.9196787148594378,0.9627391742195368,0.1047717842323651,0.1237322515212981,0.475202797676506
#BrooklynBloodPop!,R&B,0.7079918032786885,0.8148148148148148,-1.258471760797342,0.0,0.1211180124223602,0.0164658634538152,0.0,0.3796680497925311,0.5162271805273834,0.5589087029416248
$10,Rock,0.639344262295082,0.5965965965965966,-3.2571428571428576,1.0,0.0325051759834368,0.4769076305220883,0.2044310171198388,0.1234439834024896,0.9087221095334684,0.5121551592745008
(I Just) Died In Your Arms,EDM,0.6403688524590164,0.7267267267267267,-3.7880398671096343,0.0,0.0459627329192546,0.015863453815261,0.0001701913393756,0.0648340248962655,0.5141987829614605,0.5289886365560805
(L)only Child,Pop,0.6608606557377049,0.6116116116116116,-1.96843853820598,0.0,0.1418219461697722,0.2911646586345381,2.0644511581067477e-05,0.245850622406639,0.654158215010142,0.6667132381581399
(lol),Jazz,0.6793032786885247,0.9049049049049048,-1.5647840531561463,1.0,0.0887163561076604,0.0007108433734939,0.2910372608257804,0.3537344398340249,0.6845841784989859,0.499686700875544
-Interlude-,,,,,,,,,,,
"...And to Those I Love, Thanks for Sticking Around",K pop,0.8114754098360656,0.5115115115115115,-2.284385382059801,1.0,0.0423395445134575,0.1244979919678714,9.103726082578046e-05,0.1452282157676348,0.1125760649087221,0.4825780284170773
...Baby One More Time,Latin,0.7776639344262295,0.6996996996996997,-1.908637873754153,0.0,0.0317805383022774,0.2028112449799197,0.0001319234642497,0.4595435684647303,0.9198782961460448,0.3935714406679198
0 to 100,Hip hop,0.7602459016393442,0.6756756756756758,-2.1764119601328904,1.0,0.0938923395445134,0.1395582329317269,0.0,0.1732365145228216,0.6886409736308317,0.6180841335162323
01:22,Country,0.6352459016393442,0.1221221221221221,-6.46843853820598,0.0,0.0443064182194617,0.9708835341365462,0.9697885196374622,0.075311203319502,0.0509127789046653,0.3049120222188352
"10,000 Hours (with Justin Bieber)",Rock,0.6700819672131147,0.6306306306306306,-1.542857142857143,1.0,0.0268115942028985,0.1536144578313253,0.0,0.1151452282157676,0.4361054766734279,0.3810013717421124
11:23,Country,0.6260245901639344,0.2562562562562562,-3.750830564784053,1.0,0.075879917184265,0.9026104417670684,0.005005035246727,0.1296680497925311,0.5933062880324543,0.5230190181036088
12 Hours,Folk,0.8504098360655737,0.4144144144144144,-2.454152823920266,1.0,0.1532091097308488,0.4989959839357429,0.0,0.1939834024896265,0.8083164300202841,0.3725295940659452
120,,0.8258196721311476,0.945945945945946,-0.4591362126245847,1.0,0.0503105590062111,0.0243975903614457,0.8429003021148036,0.2769709543568465,0.345841784989858,0.5080187640772917
12:45 - Stripped,Hip hop,0.4702868852459017,0.2142142142142142,-3.541528239202658,1.0,0.0417184265010352,0.6365461847389559,0.0,0.1296680497925311,0.4026369168356998,0.693559586106454
13 Missed Calls,Folk,0.6547131147540984,0.7247247247247247,-2.1083056478405315,1.0,0.0687370600414078,0.4538152610441767,0.0,0.1649377593360995,0.5294117647058824,0.5491710274517773
143,K pop,0.6680327868852459,0.7137137137137137,-2.7677740863787377,0.0,0.108695652173913,0.4146586345381526,0.004833836858006,0.274896265560166,0.7018255578093305,0.6605996714592965
17 (slowed + reverb),Pop,0.7991803278688525,0.2402402402402402,-4.317607973421928,1.0,0.0736024844720496,0.3744979919678715,0.0141993957703927,0.4688796680497926,0.1734279918864097,0.5948534268150181
18,K pop,0.8022540983606558,0.5995995995995996,-1.889700996677741,1.0,0.0456521739130434,0.0446787148594377,0.0,0.1120331950207468,0.6196754563894523,0.4825229893816999
1917,K pop,0.0834016393442623,0.0155155155155155,-10.99169435215947,0.0,0.0455486542443064,0.9487951807228916,0.9214501510574018,0.0957468879668049,0.0911764705882352,0.7242925367068028
1984,Folk,0.6813524590163935,0.7467467467467468,-0.9900332225913622,1.0,0.0455486542443064,0.0125502008032128,0.0,0.1535269709543568,0.4320486815415821,0.5715549797625701
1985,EDM,0.6618852459016393,0.7247247247247247,-2.4803986710963457,0.0,0.0491718426501035,0.0433734939759036,0.0,0.3454356846473029,0.9066937119675456,0.659833358735965
1992,,0.5932377049180327,0.8518518518518519,-2.412292358803987,1.0,0.0287784679089026,0.0017369477911646,0.0536757301107754,0.2271784232365145,0.3772819472616633,0.5080949719724297
1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],Jazz,0.4825819672131147,0.927927927927928,-1.913621262458472,1.0,0.0512422360248447,0.0027309236947791,0.540785498489426,0.1192946058091286,0.2352941176470588,0.4070729394231909
2 AM,,0.6772540983606558,0.5285285285285286,-3.10531561461794,0.0,0.0366459627329192,0.1767068273092369,0.0001077542799597,0.0954356846473029,0.1389452332657201,0.6350827279039442
2009,Lofi,0.4846311475409836,0.8498498498498498,-0.808637873754153,0.0,0.0538302277432712,0.2610441767068273,0.0,0.1068464730290456,0.6186612576064908,0.336745753526732
2019,Rap,0.610655737704918,0.8818818818818819,-1.73687707641196,0.0,0.1231884057971014,0.1536144578313253,0.0,0.1659751037344398,0.306288032454361,0.6225253602939932
2021,K pop,0.8698770491803278,0.4894894894894895,-2.469435215946844,1.0,0.0526915113871635,0.6857429718875503,1.9234642497482378e-05,0.1120331950207468,0.3498985801217038,0.4825526257853647
2055,Pop,0.8493852459016393,0.5125125125125125,-1.9485049833887045,0.0,0.1935817805383022,0.4939759036144578,0.0,0.1244813278008298,0.6470588235294118,0.3408652136361327
